./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:20.58 55 56  57  56  56  55  66  67  56  55  max: 67  average 10: 57  average total: 57
20:20.59 60 60  61  59  59  59  58  58  58  58  max: 61  average 10: 59  average total: 59
20:20.59 70 59  59  51  51  60  61  63  61  63  max: 70  average 10: 59  average total: 59
20:21.0 59  59  60  59  58  68  57  62  51  52  max: 68  average 10: 58  average total: 58
20:21.0 62  50  61  60  61  60  60  119 113 72  max: 119  average 10: 71  average total: 71
20:21.1 53  63  56  63  54  64  67  63  53  63  max: 67  average 10: 59  average total: 59
20:21.1 56  57  56  56  56  55  56  56  55  55  max: 57  average 10: 55  average total: 55
20:21.2 53  64  53  57  58  57  56  56  55  65  max: 65  average 10: 57  average total: 57
20:21.2 55  65  64  66  60  60  60  59  59  58  max: 66  average 10: 60  average total: 60
20:21.3 58  58  118 108 76  50  61  51  60  109 max: 118  average 10: 74  average total: 74
20:21.4 110 69  47  57  57  56  51  62  63  52  max: 110  average 10: 62  average total: 62
20:21.4 61  61  61  60  123 110 80  61  48  57  max: 123  average 10: 72  average total: 72
20:21.4 63  51  60  61  51  60  60  60  111 111 max: 111  average 10: 68  average total: 68
20:21.5 61  61  49  55  54  54  54  55  56  64  max: 64  average 10: 56  average total: 56
20:21.5 113 114 72  53  52  58  57  57  57  58  max: 114  average 10: 69  average total: 69
20:21.6 57  78  64  47  56  67  56  55  60  60  max: 78  average 10: 60  average total: 60
20:21.7 59  60  58  57  57  69  56  66  57  66  max: 69  average 10: 60  average total: 60
20:21.7 56  120 109 79  59  59  58  58  57  57  max: 120  average 10: 71  average total: 71
20:21.8 56  56  55  55  60  59  60  59  119 109 max: 119  average 10: 68  average total: 68 9.8KB/s(in)
20:21.8 78  57  59  58  67  57  61  50  63  111 max: 111  average 10: 66  average total: 66
20:21.9 110 69  59  58  49  60  59  52  53  53  max: 110  average 10: 62  average total: 62
20:21.9 53  54  63  56  62  61  51  76  59  72  max: 76  average 10: 60  average total: 60
20:21.10 226    212 184 154 130 90  150 113 117 66  max: 226  average 10: 144  average total: 144
20:21.10 144    103 101 66  131 107 94  63  57  62  max: 144  average 10: 92  average total: 92
20:21.11 67 62  80  61  152 125 110 81  68  59  max: 152  average 10: 86  average total: 86
20:21.11 63 76  58  153 102 113 108 69  139 95  max: 153  average 10: 97  average total: 97
20:21.12 62 69  63  60  64  58  59  63  63  65  max: 69  average 10: 62  average total: 62
20:21.12 63 127 139 213 218 175 166 130 86  62  max: 218  average 10: 137  average total: 137
20:21.13 65 59  65  58  62  68  62  132 112 103 max: 132  average 10: 78  average total: 78
20:21.13 67 60  64  61  60  59  58  58  57  57  max: 67  average 10: 60  average total: 60
20:21.14 56 66  60  60  60  59  59  59  59  61  max: 66  average 10: 59  average total: 59
20:21.14 61 63  58  57  58  64  65  54  53  63  max: 65  average 10: 59  average total: 59
20:21.15 53 63  63  61  58  58  57  57  57  56  max: 63  average 10: 58  average total: 58
20:21.15 56 56  68  56  69  56  59  59  59  59  max: 69  average 10: 59  average total: 59
20:21.16 57 57  58  67  56  57  57  61  50  63  max: 67  average 10: 58  average total: 58
20:21.16 62 61  60  59  50  60  60  60  55  53  max: 62  average 10: 58  average total: 58
20:21.17 53 54  63  63  62  53  62  65  57  57  max: 65  average 10: 58  average total: 58
20:21.17 57 57  56  56  55  65  55  53  63  91  max: 91  average 10: 60  average total: 60
20:21.18 70 59  57  58  57  58  59  58  57  56  max: 70  average 10: 58  average total: 58 9.9KB/s(in)
20:21.18 56 56  66  67  54  51  61  121 110 81  max: 121  average 10: 72  average total: 72
20:21.19 60 60  60  59  60  48  58  58  54  63  max: 63  average 10: 58  average total: 58
20:21.19 63 63  52  62  62  63  52  64  65  57  max: 65  average 10: 60  average total: 60
20:21.20 55 56  56  55  66  55  54  54  75  76  max: 76  average 10: 60  average total: 60
20:21.20 69 58  59  130 109 80  59  48  58  54  max: 130  average 10: 72  average total: 72
20:21.21 53 63  63  52  62  61  61  60  50  60  max: 63  average 10: 58  average total: 58
20:21.21 61 49  54  53  53  62  64  62  61  61  max: 64  average 10: 58  average total: 58
