./client_epoll/client_epoll 20003 120.26.200.117 23456 50 2>>./error.log

connect to: 120.26.200.117 23456
Run UDT client loop ...
143 88  51  45  46  50  53  56  48  52  max: 143  average 10: 63  average total: 63 0KB/s(in)
20:22.3 652 679 693 722 735 750 761 790 808 757 max: 808  average 10: 734  average total: 77
20:22.3 772 787 799 826 842 854 871 885 898 915 max: 915  average 10: 844  average total: 79 0.8KB/s(in)
20:22.4 961 956 970 974 991 938 940 950 963 980 max: 991  average 10: 962  average total: 82
20:22.5 995 1020    1019    1019    1033    1049    1052    1065    1078    1080    max: 1080  average 10: 1041  average total: 86
20:22.5 1093    1043    1048    1061    1091    1286    1236    1183    1192    1209    max: 1286  average 10: 1144  average total: 89
20:22.6 1401    1350    1508    1563    1511    1647    1689    1640    1586    1799    max: 1799  average 10: 1569  average total: 94
20:22.7 1744    1692    1730    1781    1819    1854    1894    1897    1930    1967    max: 1967  average 10: 1830  average total: 100
20:22.8 2006    2040    2076    2022    2059    2097    2134    2168    2202    2236    max: 2236  average 10: 2104  average total: 107
20:22.9 2274    2297    2334    2526    2472    2518    2557    2604    2643    2590    max: 2643  average 10: 2481  average total: 115
20:22.10 2780   2727    2776    2837    2885    2939    3120    3068    3134    3193    max: 3193  average 10: 2945  average total: 124
20:22.11 3248   3305    3374    3430    3484    3429    3485    3531    3588    3645    max: 3645  average 10: 3451  average total: 135
